================ CalculatePixGain PixGain 89 :  : -9.016340e+01 =  0.000000e+00 C2B453A9 00000000 11000010101101000101001110101001 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 90 :  : -7.395425e+01 =  0.000000e+00 C293E893 00000000 11000010100100111110100010010011 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 91 :  : -9.522876e+01 =  0.000000e+00 C2BE7520 00000000 11000010101111100111010100100000 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 92 :  : -7.496732e+01 =  0.000000e+00 C295EF45 00000000 11000010100101011110111101000101 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 93 :  : -8.915033e+01 =  0.000000e+00 C2B24CF8 00000000 11000010101100100100110011111000 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 94 :  : -7.192811e+01 =  0.000000e+00 C28FDB31 00000000 11000010100011111101101100110001 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 95 :  : -9.826797e+01 =  0.000000e+00 C2C48934 00000000 11000010110001001000100100110100 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 96 :  : -8.712418e+01 =  0.000000e+00 C2AE3F95 00000000 11000010101011100011111110010101 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 97 :  : -9.016340e+01 =  0.000000e+00 C2B453A9 00000000 11000010101101000101001110101001 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 98 :  : -9.320261e+01 =  0.000000e+00 C2BA67BD 00000000 11000010101110100110011110111101 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 99 :  : -9.016340e+01 =  0.000000e+00 C2B453A9 00000000 11000010101101000101001110101001 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 100 :  : -8.813725e+01 =  0.000000e+00 C2B04646 00000000 11000010101100000100011001000110 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 101 :  : -9.218954e+01 =  0.000000e+00 C2B8610C 00000000 11000010101110000110000100001100 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 102 :  : -9.421568e+01 =  0.000000e+00 C2BC6E6E 00000000 11000010101111000110111001101110 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 103 :  : -9.117647e+01 =  0.000000e+00 C2B65A5A 00000000 11000010101101100101101001011010 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 104 :  : -8.813725e+01 =  0.000000e+00 C2B04646 00000000 11000010101100000100011001000110 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 105 :  : -9.421568e+01 =  0.000000e+00 C2BC6E6E 00000000 11000010101111000110111001101110 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 106 :  : -9.421568e+01 =  0.000000e+00 C2BC6E6E 00000000 11000010101111000110111001101110 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 107 :  : -9.522876e+01 =  0.000000e+00 C2BE7520 00000000 11000010101111100111010100100000 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 108 :  : -8.712418e+01 =  0.000000e+00 C2AE3F95 00000000 11000010101011100011111110010101 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 109 :  : -9.826797e+01 =  0.000000e+00 C2C48934 00000000 11000010110001001000100100110100 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 110 :  : -9.522876e+01 =  0.000000e+00 C2BE7520 00000000 11000010101111100111010100100000 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 111 :  : -9.421568e+01 =  0.000000e+00 C2BC6E6E 00000000 11000010101111000110111001101110 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 112 :  : -8.408497e+01 =  0.000000e+00 C2A82B81 00000000 11000010101010000010101110000001 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 113 :  : -9.725490e+01 =  0.000000e+00 C2C28282 00000000 11000010110000101000001010000010 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 114 :  : -9.522876e+01 =  0.000000e+00 C2BE7520 00000000 11000010101111100111010100100000 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 115 :  : -9.522876e+01 =  0.000000e+00 C2BE7520 00000000 11000010101111100111010100100000 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 116 :  : -8.408497e+01 =  0.000000e+00 C2A82B81 00000000 11000010101010000010101110000001 00000000000000000000000000000000 ().
